complexity,loss,equation,score,sympy_format,lambda_format
1,0.0018748555,0.8248071,0.0,0.824807100000000,PySRFunction(X=>0.824807100000000)
5,2.7087744e-05,(x16 * 0.04298514) + 0.8248071,1.0593013735253005,x16*0.04298514 + 0.8248071,PySRFunction(X=>x16*0.04298514 + 0.8248071)
6,2.5418936e-05,sqrt((x16 * 0.07101478) + 0.6821548),0.06358696658723136,sqrt(0.07101478*x16 + 0.6821548),PySRFunction(X=>sqrt(0.07101478*x16 + 0.6821548))
8,2.531458e-05,sqrt((x16 * 0.05389203) + 0.39393124) + 0.19864783,0.002056946874680747,sqrt(0.05389203*x16 + 0.39393124) + 0.19864783,PySRFunction(X=>sqrt(0.05389203*x16 + 0.39393124) + 0.19864783)
9,2.2235894e-05,((x35 * 0.010387441) + 0.8248071) + (x17 * 0.0329671),0.129672684294833,x17*0.0329671 + x35*0.010387441 + 0.8248071,PySRFunction(X=>x17*0.0329671 + x35*0.010387441 + 0.8248071)
10,2.212914e-05,sqrt((x17 * 0.057242546) + 0.68151224) + (x35 * 0.008667658),0.0048125380018769716,0.008667658*x35 + sqrt(0.057242546*x17 + 0.68151224),PySRFunction(X=>0.008667658*x35 + sqrt(0.057242546*x17 + 0.68151224))
12,2.2129123e-05,sqrt((x17 * 0.057249203) + 0.68209356) - ((0.040475156 - x35) * 0.008678264),3.841090645462006e-07,0.008678264*x35 + sqrt(0.057249203*x17 + 0.68209356) - 0.000351254089209184,PySRFunction(X=>0.008678264*x35 + sqrt(0.057249203*x17 + 0.68209356) - 0.000351254089209184)
13,2.054531e-05,((x35 * 0.013872712) + (0.8248068 - (x22 * -0.003340511))) + (x17 * 0.026698675),0.07426183276448535,x17*0.026698675 - (-0.003340511)*x22 + x35*0.013872712 + 0.8248068,PySRFunction(X=>x17*0.026698675 - (-0.003340511)*x22 + x35*0.013872712 + 0.8248068)
