experiment,condition,noise_level,target,r2,mae
missing_redshift,missing_z_12.0,,zeta,-0.04682860629903263,18.145553281589695
missing_redshift,missing_z_12.0,,log10_Tvir,-0.010873896540218642,0.37751606937574245
missing_redshift,missing_z_12.0,,R_mfp,0.5642123635568386,3.9331582341877733
missing_redshift,missing_z_12.0,,log10_LX,-0.01704910755613742,1.0005497177138272
missing_redshift,missing_z_12.0,,sigma8,0.9638875545734111,0.006408875203139699
missing_redshift,missing_z_10.0,,zeta,-0.05654080748716228,18.18566797935004
missing_redshift,missing_z_10.0,,log10_Tvir,-0.011082470335578076,0.3774472804020563
missing_redshift,missing_z_10.0,,R_mfp,0.5400003258464876,4.094948197688862
missing_redshift,missing_z_10.0,,log10_LX,-0.004411752313048911,0.9922661281700239
missing_redshift,missing_z_10.0,,sigma8,0.9201446081574886,0.009514976862128715
missing_redshift,missing_z_8.0,,zeta,-0.0346144443969596,18.075362707414605
missing_redshift,missing_z_8.0,,log10_Tvir,0.006040353996578873,0.37324515490087135
missing_redshift,missing_z_8.0,,R_mfp,0.017984882240928313,6.321143252460422
missing_redshift,missing_z_8.0,,log10_LX,-0.020028415031533964,1.0031020427481807
missing_redshift,missing_z_8.0,,sigma8,0.9814011669752927,0.004640358617400209
missing_k_group,missing_low_k,,zeta,-0.04966968303625441,18.165625895522663
missing_k_group,missing_low_k,,log10_Tvir,-0.01201667684233465,0.37804174668685975
missing_k_group,missing_low_k,,R_mfp,0.4887900178648181,4.311120202035315
missing_k_group,missing_low_k,,log10_LX,-0.025241608838523,1.002281160947621
missing_k_group,missing_low_k,,sigma8,0.9774542836111719,0.005166153424976211
missing_k_group,missing_mid_k,,zeta,-0.04294638714358978,18.036476452712318
missing_k_group,missing_mid_k,,log10_Tvir,-0.008963857870438297,0.37632376471540696
missing_k_group,missing_mid_k,,R_mfp,0.47471817638514613,4.388085386992707
missing_k_group,missing_mid_k,,log10_LX,-0.008919244334023801,0.998053529292348
missing_k_group,missing_mid_k,,sigma8,0.9490809816686648,0.007356588044049449
missing_k_group,missing_high_k,,zeta,-0.05330688807757733,18.174100658892645
missing_k_group,missing_high_k,,log10_Tvir,-0.006516697925596393,0.3756840864619923
missing_k_group,missing_high_k,,R_mfp,0.539220578719827,4.13873128750389
missing_k_group,missing_high_k,,log10_LX,-0.012113928907802274,0.99669339111314
missing_k_group,missing_high_k,,sigma8,0.9433140878618476,0.00799620458200502
