model,feature_group,n_features,target,r2,mae
Random Forest,all_redshifts_all_k,57,zeta,-0.04536295713104943,18.11726182939699
Random Forest,all_redshifts_all_k,57,log10_Tvir,-0.011870428306012482,0.3770528877053354
Random Forest,all_redshifts_all_k,57,R_mfp,0.541308984500434,4.122118107302799
Random Forest,all_redshifts_all_k,57,log10_LX,-0.014740862686263734,0.9985362531061233
Random Forest,all_redshifts_all_k,57,sigma8,0.9580906113759345,0.0068764561703307855
Random Forest,z_12.0_all_k,19,zeta,-0.02400275664831275,17.904321902028315
Random Forest,z_12.0_all_k,19,log10_Tvir,0.0032078641084984927,0.3749719777440278
Random Forest,z_12.0_all_k,19,R_mfp,-0.0031229876452820715,6.37063646963023
Random Forest,z_12.0_all_k,19,log10_LX,-0.02595730706486754,1.0078157393114662
Random Forest,z_12.0_all_k,19,sigma8,0.9641479351944806,0.006445068564145721
Random Forest,z_10.0_all_k,19,zeta,-0.04445191700318096,18.082203693945452
Random Forest,z_10.0_all_k,19,log10_Tvir,-0.001675236764900001,0.3746967649160516
Random Forest,z_10.0_all_k,19,R_mfp,-0.004012990514872028,6.364236447590935
Random Forest,z_10.0_all_k,19,log10_LX,-0.026269360421293797,1.004763792818619
Random Forest,z_10.0_all_k,19,sigma8,0.9823043028094673,0.004580562969855362
Random Forest,z_8.0_all_k,19,zeta,-0.06580550617817948,18.24753648303434
Random Forest,z_8.0_all_k,19,log10_Tvir,-0.020119385922245048,0.3793750230796126
Random Forest,z_8.0_all_k,19,R_mfp,0.5213460533748968,4.128213370879388
Random Forest,z_8.0_all_k,19,log10_LX,-0.018169884267684067,0.9991700298462576
Random Forest,z_8.0_all_k,19,sigma8,0.8780380395453943,0.01124135657493955
Random Forest,all_z_low_k,18,zeta,-0.04545437910777639,18.034026743223887
Random Forest,all_z_low_k,18,log10_Tvir,-0.01185699527344175,0.3771683179405701
Random Forest,all_z_low_k,18,R_mfp,0.4444918246964171,4.5084192707561295
Random Forest,all_z_low_k,18,log10_LX,-0.013015931570231176,0.9980343557151988
Random Forest,all_z_low_k,18,sigma8,0.8687971666564129,0.012301178429699449
Random Forest,all_z_mid_k,21,zeta,-0.06607137195288582,18.289556902625765
Random Forest,all_z_mid_k,21,log10_Tvir,-0.012228659061207292,0.3770092946584289
Random Forest,all_z_mid_k,21,R_mfp,0.4807585830842599,4.3213891427517375
Random Forest,all_z_mid_k,21,log10_LX,-0.02836374626900917,1.0032192561837174
Random Forest,all_z_mid_k,21,sigma8,0.9678652704257563,0.0062288426315546715
Random Forest,all_z_high_k,18,zeta,-0.07339949899896503,18.1206106727248
Random Forest,all_z_high_k,18,log10_Tvir,-0.006910129152911448,0.37608655049377554
Random Forest,all_z_high_k,18,R_mfp,0.5295928712769072,4.068910379064914
Random Forest,all_z_high_k,18,log10_LX,-0.03891147656179572,1.007648268892616
Random Forest,all_z_high_k,18,sigma8,0.9863641880479167,0.00395161350192193
Random Forest,z_12.0_low_k,6,zeta,-0.033380553507971866,18.040390666793993
Random Forest,z_12.0_low_k,6,log10_Tvir,-0.012174423824284686,0.37903825626072263
Random Forest,z_12.0_low_k,6,R_mfp,-0.011334248511901457,6.363318470670761
Random Forest,z_12.0_low_k,6,log10_LX,-0.021282542843037655,1.004696355718407
Random Forest,z_12.0_low_k,6,sigma8,0.4945766555318929,0.02487286209228863
Random Forest,z_12.0_mid_k,7,zeta,-0.061838119136392145,18.19625617335242
