target,full_feature_r2,best_ablation_group,best_ablation_r2,delta_best_minus_full
zeta,-0.04536295713104943,z_12.0_all_k,-0.02400275664831275,0.02136020048273668
log10_Tvir,-0.011870428306012482,z_12.0_all_k,0.0032078641084984927,0.015078292414510974
R_mfp,0.541308984500434,all_redshifts_all_k,0.541308984500434,0.0
log10_LX,-0.014740862686263734,all_z_low_k,-0.013015931570231176,0.0017249311160325576
sigma8,0.9580906113759345,z_12.0_high_k,0.9867361216858243,0.02864551030988971
