target,r2,mae,mean_pred_std,median_pred_std,coverage_1sigma,coverage_2sigma,nominal_1sigma,nominal_2sigma,spearman_uncertainty_error,p_value,mean_abs_error,mean_uncertainty
zeta,-0.03195992788697355,18.00898290151342,3.1977867187465767,3.072673226444513,0.0825,0.185,0.68,0.95,-0.051119381996137477,0.30779723825833954,18.00898290151342,3.1977867187465767
log10_Tvir,-0.008305138555968705,0.3765455741950591,0.03641983503380423,0.03508370755571959,0.06,0.095,0.68,0.95,0.01532447077794236,0.759948666046819,0.3765455741950591,0.03641983503380423
R_mfp,0.5269654554394986,4.227426811011416,0.7633941920017802,0.686797134855305,0.0625,0.16,0.68,0.95,0.16672660454127838,0.0008152731078245022,4.227426811011416,0.7633941920017802
log10_LX,-0.012291407597389448,0.9971507296542871,0.09838088286246222,0.09682160003012635,0.0575,0.1025,0.68,0.95,-0.07301295633097707,0.14494109397939464,0.9971507296542871,0.09838088286246222
sigma8,0.9591741277561919,0.00675861624861045,0.0022194821674413646,0.002077610383261897,0.205,0.39,0.68,0.95,0.3399484371777323,2.8111882148361665e-12,0.00675861624861045,0.0022194821674413646
