complexity,loss,equation,score,sympy_format,lambda_format
1,0.0018748555,0.8248058,0.0,0.824805800000000,PySRFunction(X=>0.824805800000000)
5,4.03749e-05,(x17 * 0.04283131) + 0.8248067,0.9595196410021222,x17*0.04283131 + 0.8248067,PySRFunction(X=>x17*0.04283131 + 0.8248067)
6,2.6343274e-05,sqrt(-6.4372473 / (x16 + -9.539534)),0.4269953185225793,2.53717309224262*sqrt(-1/(x16 - 9.539534)),PySRFunction(X=>2.53717309224262*sqrt(-1/(x16 - 9.539534)))
7,2.5360214e-05,(-4.3570604 / (x17 + -10.088162)) - -0.38888544,0.038031418217762444,-1*(-0.38888544) - 4.3570604/(x17 - 10.088162),PySRFunction(X=>-1*(-0.38888544) - 4.3570604/(x17 - 10.088162))
9,2.524598e-05,(0.036729053 / ((0.85235816 / x17) - 0.08408054)) + 0.8205799,0.0022573164467876716,0.8205799 + 0.036729053/(-1*0.08408054 + 0.85235816/x17),PySRFunction(X=>0.8205799 + 0.036729053/(-1*0.08408054 + 0.85235816/x17))
12,2.447262e-05,sqrt(0.255211 / ((0.030528663 / (-1.5322213 / (x17 + x16))) + 0.37825316)),0.01037066450705107,0.505184124849544*sqrt(1/(-0.0199244475977458*x16 - 0.0199244475977458*x17 + 0.37825316)),PySRFunction(X=>0.505184124849544*sqrt(1/(-0.0199244475977458*x16 - 0.0199244475977458*x17 + 0.37825316)))
13,2.3338971e-05,((-1.0073748 / ((-23.948 / x17) + 2.4530149)) + (x0 * -0.0016818059)) - -0.82052356,0.0474304031215645,x0*(-0.0016818059) - 1*(-0.82052356) - 1.0073748/(2.4530149 - 23.948/x17),PySRFunction(X=>x0*(-0.0016818059) - 1*(-0.82052356) - 1.0073748/(2.4530149 - 23.948/x17))
15,2.3234204e-05,(((x51 + x0) * -0.0016612075) + (-1.7667261 / ((-43.47979 / x16) + 4.3105965))) + 0.8208035,0.002249517597167264,(x0 + x51)*(-0.0016612075) + 0.8208035 - 1.7667261/(4.3105965 - 43.47979/x16),PySRFunction(X=>(x0 + x51)*(-0.0016612075) + 0.8208035 - 1.7667261/(4.3105965 - 43.47979/x16))
19,2.31055e-05,((-0.50675213 / ((-12.376709 / x16) + 1.1889688)) + -0.43827263) + ((x8 * 0.0013198317) + ((x0 * -0.001864746) - -1.2591733)),0.0013887047157319886,x0*(-0.001864746) + x8*0.0013198317 - 0.43827263 - 1*(-1.2591733) - 0.50675213/(1.1889688 - 12.376709/x16),PySRFunction(X=>x0*(-0.001864746) + x8*0.0013198317 - 0.43827263 - 1*(-1.2591733) - 0.50675213/(1.1889688 - 12.376709/x16))
